model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
vit_b_16,class_token,2661898.895866637,2661898.901098633,2661898.900830273,2661898.900933622,2661898.900933828,2661898.900943186,2661898.900955641,2661898.900956245,,,2661898.900956829,2661898.901097838,
vit_b_16,encoder,2661898.895866637,2661900.017666134,2661898.901102766,2661899.438464472,2661899.438464666,2661899.750125001,2661899.750131837,2661899.96734427,,,2661899.967346818,2661900.017663753,
vit_b_16,heads,2661898.895866637,2661900.027227241,2661900.017675606,2661900.021660487,2661900.021660727,2661900.025372979,2661900.025626811,2661900.027103022,,,2661900.027104451,2661900.027226436,
vit_b_16,conv_proj,2661900.429368822,2661900.434337452,2661900.429370513,2661900.432533314,2661900.432533521,2661900.432546254,2661900.432552344,2661900.433756255,,,2661900.433757839,2661900.434336138,
vit_b_16,class_token,2661900.429368822,2661900.434617678,2661900.43434567,2661900.434449821,2661900.43445003,2661900.434459608,2661900.434473191,2661900.434473791,,,2661900.434474431,2661900.434617001,
vit_b_16,encoder,2661900.429368822,2661901.447448073,2661900.434622245,2661900.931404078,2661900.931404274,2661901.242810452,2661901.242817381,2661901.397323872,,,2661901.397325703,2661901.447445775,
vit_b_16,heads,2661900.429368822,2661901.4570133,2661901.447456792,2661901.451438685,2661901.451438901,2661901.455147226,2661901.455408443,2661901.456887899,,,2661901.456889109,2661901.457012497,
vit_b_16,conv_proj,2661901.86040896,2661901.865355378,2661901.860410759,2661901.863518787,2661901.863518957,2661901.863531814,2661901.863537793,2661901.86478033,,,2661901.864781661,2661901.865354057,
vit_b_16,class_token,2661901.86040896,2661901.865636734,2661901.865363101,2661901.865469042,2661901.865469304,2661901.865478809,2661901.865490834,2661901.865491482,,,2661901.865492095,2661901.865635768,
vit_b_16,encoder,2661901.86040896,2661902.898872307,2661901.865641387,2661902.32217806,2661902.322178231,2661902.634346995,2661902.634353901,2661902.848704778,,,2661902.848706977,2661902.898870184,
vit_b_16,heads,2661901.86040896,2661902.908488146,2661902.898881605,2661902.902927191,2661902.902927462,2661902.906648462,2661902.906872729,2661902.908356009,,,2661902.908357233,2661902.908487318,
vit_b_16,conv_proj,2661903.317662441,2661903.322649929,2661903.317663933,2661903.32081945,2661903.320819647,2661903.320831021,2661903.320837311,2661903.322080373,,,2661903.322081576,2661903.322648539,
vit_b_16,class_token,2661903.317662441,2661903.322925184,2661903.322657267,2661903.32275898,2661903.322759189,2661903.322768024,2661903.322780075,2661903.322780651,,,2661903.322781278,2661903.322924178,
vit_b_16,encoder,2661903.317662441,2661904.332339182,2661903.322929402,2661903.757186157,2661903.757186309,2661904.069192408,2661904.06919711,2661904.282409572,,,2661904.282411704,2661904.332336752,
vit_b_16,heads,2661903.317662441,2661904.341950589,2661904.332349143,2661904.336308912,2661904.336309107,2661904.340019806,2661904.3402688,2661904.341817184,,,2661904.341818823,2661904.341949752,
vit_b_16,conv_proj,2661904.749593379,2661904.754589528,2661904.749595298,2661904.752771686,2661904.752771894,2661904.752785634,2661904.752791032,2661904.754007505,,,2661904.754008744,2661904.754588458,
vit_b_16,class_token,2661904.749593379,2661904.754868979,2661904.754597548,2661904.754700943,2661904.754701131,2661904.754710324,2661904.754723281,2661904.7547239,,,2661904.754724517,2661904.754868209,
vit_b_16,encoder,2661904.749593379,2661905.769951003,2661904.754873677,2661905.252265443,2661905.252265581,2661905.564073911,2661905.56408122,2661905.720153795,,,2661905.720155636,2661905.769948676,
vit_b_16,heads,2661904.749593379,2661905.779660719,2661905.769959805,2661905.773948632,2661905.773948904,2661905.777664362,2661905.777937798,2661905.779522422,,,2661905.779523842,2661905.779659914,
vit_b_16,conv_proj,2661906.184339391,2661906.189341611,2661906.184340975,2661906.187458485,2661906.187458687,2661906.187472068,2661906.187477678,2661906.188734691,,,2661906.188736043,2661906.189340249,
vit_b_16,class_token,2661906.184339391,2661906.189620433,2661906.189349488,2661906.189453809,2661906.189454007,2661906.189463765,2661906.189476093,2661906.189476665,,,2661906.189477258,2661906.189619712,
vit_b_16,encoder,2661906.184339391,2661907.225856193,2661906.189625225,2661906.64924278,2661906.649242948,2661906.960980697,2661906.960987647,2661907.175274231,,,2661907.175276145,2661907.225853742,
vit_b_16,heads,2661906.184339391,2661907.235437421,2661907.22586563,2661907.229858052,2661907.229858319,2661907.233575799,2661907.233800458,2661907.235307093,,,2661907.235308677,2661907.235436625,
vit_b_16,conv_proj,2661907.638055726,2661907.643096023,2661907.638057302,2661907.641268149,2661907.641268407,2661907.641280354,2661907.641286413,2661907.642515557,,,2661907.642516998,2661907.643094813,
