model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
resnet101,layer3,2388889.560217926,2388890.111269152,2388889.594786191,2388889.783935304,2388889.783935663,2388889.783935887,2388889.784087406,2388889.975994755,,,2388889.976076943,2388890.111170208,
resnet101,layer4,2388889.560220043,2388890.153883013,2388889.784162799,2388889.884878462,2388889.884878742,2388889.884878963,2388889.977020744,2388890.012878059,,,2388890.111205257,2388890.153822587,
resnet101,avgpool,2388889.560222321,2388890.154251574,2388889.884984113,2388889.88500194,2388889.885002086,2388889.885002333,2388890.012987566,2388890.013298282,,,2388890.153843461,2388890.154219528,
resnet101,fc,2388889.560224621,2388890.154809598,2388889.885047703,2388889.898438227,2388889.89843845,2388889.898438705,2388890.013310584,2388890.017394372,,,2388890.15423086,2388890.154790503,
resnet101,conv1,2388890.570839862,2388890.584276004,2388890.571104159,2388890.571408362,2388890.571408674,2388890.571409023,2388890.571500376,2388890.572451076,,,2388890.572470557,2388890.580493347,
resnet101,bn1,2388890.570851562,2388890.586186464,2388890.571539418,2388890.572203552,2388890.572203856,2388890.572204106,2388890.572572819,2388890.573980689,,,2388890.580534645,2388890.586064523,
resnet101,relu,2388890.570854843,2388890.586938705,2388890.57232492,2388890.572345078,2388890.572345285,2388890.572345419,2388890.574116219,2388890.574499373,,,2388890.586113661,2388890.586895223,
resnet101,maxpool,2388890.570857683,2388890.58867665,2388890.572602439,2388890.572631752,2388890.572631944,2388890.572632099,2388890.574509048,2388890.574656865,,,2388890.586906854,2388890.588600975,
resnet101,layer1,2388890.57086027,2388890.618346892,2388890.57282483,2388890.587103021,2388890.587103296,2388890.587103744,2388890.587174296,2388890.59986741,,,2388890.599923679,2388890.618319505,
resnet101,layer2,2388890.570863123,2388890.644777853,2388890.587242362,2388890.603775719,2388890.603776249,2388890.603776458,2388890.603914482,2388890.62418794,,,2388890.624221127,2388890.644753099,
resnet101,layer3,2388890.570865686,2388891.100213765,2388890.603962352,2388890.789564571,2388890.789564825,2388890.789565002,2388890.789678413,2388890.969569702,,,2388890.969633921,2388891.100088183,
