model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
resnet152,relu,2392396.521876157,2392396.53935371,2392396.524375113,2392396.524400324,2392396.524400458,2392396.524400592,2392396.525842526,2392396.526083852,,,2392396.537732033,2392396.539323201,
resnet152,maxpool,2392396.521879085,2392396.540934103,2392396.524488882,2392396.52452396,2392396.524524095,2392396.524524261,2392396.526092386,2392396.52646123,,,2392396.539334243,2392396.54076895,
resnet152,layer1,2392396.521882455,2392396.5612108,2392396.524682519,2392396.529412467,2392396.529412743,2392396.529412916,2392396.538664143,2392396.542136258,2392396.527533312,2392396.5386509,2392396.542168756,2392396.561118156,
resnet152,layer2,2392396.521885409,2392396.608036417,2392396.529523041,2392396.566904624,2392396.566904907,2392396.566905179,2392396.566984416,2392396.570777973,2392396.543405012,2392396.566169749,2392396.57080957,2392396.607977068,
resnet152,layer3,2392396.521887955,2392397.098522127,2392396.56715802,2392396.861959939,2392396.861960239,2392396.861960455,2392396.862089918,2392396.910433809,2392396.572127608,2392396.724622131,2392396.910548058,2392397.098418424,
resnet152,layer4,2392396.521890635,2392397.11673314,2392396.863008437,2392396.984119133,2392396.984120009,2392396.98412069,2392396.984355351,2392396.992416707,2392396.913992584,2392396.953840901,2392397.098455905,2392397.116679064,
resnet152,avgpool,2392396.521893445,2392397.117069419,2392396.984643113,2392396.984674378,2392396.984674601,2392396.984674747,2392396.992693048,2392396.993413626,,,2392397.116698921,2392397.117043268,
resnet152,fc,2392396.521896288,2392397.117531001,2392396.984910815,2392397.003324679,2392397.003324951,2392397.003325299,2392397.003433075,2392397.004090416,2392396.994531188,2392396.999206015,2392397.117052458,2392397.117500818,
resnet152,conv1,2392398.004688742,2392398.033471967,2392398.0050081,2392398.005581207,2392398.005581692,2392398.005582189,2392398.006580807,2392398.007294224,,,2392398.007312194,2392398.033373211,
resnet152,bn1,2392398.00470013,2392398.036772072,2392398.005750651,2392398.006536176,2392398.00653639,2392398.006536644,2392398.007427265,2392398.00768832,2392398.005490212,2392398.006569188,2392398.033390454,2392398.036595377,
resnet152,relu,2392398.004702976,2392398.037895092,2392398.006650766,2392398.006672369,2392398.00667266,2392398.006672807,2392398.007878672,2392398.008156106,,,2392398.036639184,2392398.037851793,
resnet152,maxpool,2392398.004705707,2392398.039731748,2392398.006770347,2392398.006801427,2392398.006801596,2392398.006801836,2392398.008164903,2392398.008456169,,,2392398.037867263,2392398.039654328,
resnet152,layer1,2392398.004707978,2392398.066270291,2392398.006852234,2392398.035643762,2392398.035644367,2392398.035644672,2392398.039120604,2392398.041260022,2392398.00952786,2392398.039108437,2392398.041283085,2392398.066245259,
resnet152,layer2,2392398.004710346,2392398.135417346,2392398.035898935,2392398.078073938,2392398.078074433,2392398.078074804,2392398.078165255,2392398.082379291,2392398.042509785,2392398.063382436,2392398.082421787,2392398.135371084,
resnet152,layer3,2392398.004712354,2392398.637673275,2392398.078334473,2392398.389482013,2392398.389482409,2392398.389482565,2392398.389610047,2392398.437567608,2392398.083861193,2392398.242712888,2392398.437669987,2392398.637547718,
resnet152,layer4,2392398.00471453,2392398.660522936,2392398.390973504,2392398.510042136,2392398.51004246,2392398.510042728,2392398.51018522,2392398.518661689,2392398.440868498,2392398.479845266,2392398.637584209,2392398.660434712,
resnet152,avgpool,2392398.00471653,2392398.66092108,2392398.510567885,2392398.510593962,2392398.510594263,2392398.510594443,2392398.518911176,2392398.519617878,,,2392398.660468491,2392398.660865501,
resnet152,fc,2392398.004718646,2392398.661404294,2392398.51069545,2392398.529332179,2392398.529332634,2392398.529332888,2392398.529425458,2392398.530124472,2392398.52073529,2392398.525491987,2392398.660886122,2392398.661372853,
resnet101,conv1,2392399.42850544,2392399.441124492,2392399.428822284,2392399.429363645,2392399.429364237,2392399.429364714,2392399.43065175,2392399.431677305,,,2392399.43174205,2392399.441078381,
resnet101,bn1,2392399.428518939,2392399.444397856,2392399.429502117,2392399.430564047,2392399.430564326,2392399.43056457,2392399.431831036,2392399.432069167,2392399.429314567,2392399.430639738,2392399.441096174,2392399.443752362,
resnet101,relu,2392399.428522079,2392399.445793734,2392399.430685593,2392399.430707745,2392399.430708115,2392399.430708335,2392399.432127519,2392399.43251181,,,2392399.443776462,2392399.445579489,
resnet101,maxpool,2392399.428525374,2392399.448009928,2392399.430807097,2392399.430837786,2392399.430838079,2392399.430838247,2392399.432524143,2392399.432727808,,,2392399.445597404,2392399.447923234,
resnet101,layer1,2392399.428528355,2392399.474950971,2392399.430898466,2392399.445522091,2392399.445522575,2392399.445522989,2392399.450295787,2392399.454122019,2392399.433831559,2392399.450274132,2392399.454172356,2392399.47491591,
resnet101,layer2,2392399.428531232,2392399.497771506,2392399.445877186,2392399.463798733,2392399.463799091,2392399.463799359,2392399.470759664,2392399.475111349,2392399.455466318,2392399.470741719,2392399.475153708,2392399.497742264,
resnet101,layer3,2392399.428533926,2392399.842719027,2392399.464009081,2392399.669229037,2392399.669229473,2392399.669229725,2392399.669362712,2392399.70016097,2392399.476455146,2392399.59113605,2392399.700260873,2392399.84261343,
resnet101,layer4,2392399.428536677,2392399.868464169,2392399.670386413,2392399.775173755,2392399.77517421,2392399.775174495,2392399.775399597,2392399.783215441,2392399.702787376,2392399.74667264,2392399.842651459,2392399.86840154,
resnet101,avgpool,2392399.42853951,2392399.868990833,2392399.7756797,2392399.775702339,2392399.775702651,2392399.775702922,2392399.783426245,2392399.784148811,,,2392399.868423873,2392399.868915574,
resnet101,fc,2392399.428542253,2392399.869583527,2392399.775865674,2392399.791434282,2392399.791434624,2392399.791434903,2392399.791533073,2392399.792185516,2392399.785259587,2392399.789843894,2392399.868929202,2392399.869561351,
resnet101,conv1,2392400.307939466,2392400.321783972,2392400.308218729,2392400.308711146,2392400.308711681,2392400.308712302,2392400.310295623,2392400.311410937,,,2392400.311437403,2392400.321695295,
resnet101,bn1,2392400.307955967,2392400.326264951,2392400.30885764,2392400.309676862,2392400.309677115,2392400.309677289,2392400.311535164,2392400.311980882,2392400.308778181,2392400.310279659,2392400.321711064,2392400.326146383,
resnet101,relu,2392400.307959532,2392400.327267126,2392400.310331312,2392400.310353562,2392400.310353863,2392400.310354039,2392400.312067387,2392400.312324265,,,2392400.326162455,2392400.327140111,
resnet101,maxpool,2392400.307962197,2392400.329003263,2392400.310431637,2392400.310463923,2392400.310464125,2392400.310464311,2392400.312335902,2392400.312903181,,,2392400.327153314,2392400.328898327,
resnet101,layer1,2392400.307964857,2392400.350652385,2392400.310553793,2392400.321574302,2392400.321574644,2392400.321574805,2392400.325930872,2392400.329733624,2392400.31398864,2392400.325915867,2392400.329756114,2392400.350612917,
resnet101,layer2,2392400.307967475,2392400.373235487,2392400.321987308,2392400.341520098,2392400.341520609,2392400.341520867,2392400.341601135,2392400.344283311,2392400.331077039,2392400.34125788,2392400.350625478,2392400.373046731,
resnet101,layer3,2392400.307970489,2392400.701840038,2392400.341716658,2392400.536826112,2392400.536826383,2392400.536826654,2392400.536918328,2392400.565930703,2392400.345580306,2392400.443583328,2392400.566024646,2392400.701730166,
resnet101,layer4,2392400.307973372,2392400.726345715,2392400.537874056,2392400.66075818,2392400.66075864,2392400.660758846,2392400.660924831,2392400.668677463,2392400.568753185,2392400.60986461,2392400.70176751,2392400.726277754,
resnet101,avgpool,2392400.307976254,2392400.726799075,2392400.661259249,2392400.661282392,2392400.661282615,2392400.661282739,2392400.682750615,2392400.683510261,,,2392400.726297507,2392400.726698115,
resnet101,fc,2392400.307979321,2392400.727351497,2392400.661349669,2392400.677472064,2392400.677472268,2392400.677472598,2392400.683537379,2392400.694676601,,,2392400.726711573,2392400.727328431,
resnet101,conv1,2392401.127255786,2392401.139775797,2392401.127502031,2392401.128103696,2392401.128104045,2392401.128104293,2392401.129174861,2392401.129805011,,,2392401.129821047,2392401.139574503,
resnet101,bn1,2392401.127265643,2392401.146150678,2392401.128228413,2392401.128939561,2392401.128939787,2392401.128939987,2392401.129932271,2392401.130108713,2392401.128023767,2392401.129162801,2392401.139592188,2392401.146029722,
resnet101,relu,2392401.127268378,2392401.148500777,2392401.129113209,2392401.129135832,2392401.129136087,2392401.129136395,2392401.130191734,2392401.130581856,,,2392401.146068877,2392401.147632284,
resnet101,maxpool,2392401.127270508,2392401.149173623,2392401.129246784,2392401.129277711,2392401.129277905,2392401.129278055,2392401.130590665,2392401.130930033,,,2392401.147641714,2392401.149156055,
resnet101,layer1,2392401.127272749,2392401.171987412,2392401.129528085,2392401.143547096,2392401.143547399,2392401.143547625,2392401.148537436,2392401.151315275,2392401.132088057,2392401.148521545,2392401.151349404,2392401.171946084,
resnet101,layer2,2392401.127274919,2392401.194000191,2392401.14373559,2392401.157616178,2392401.15761647,2392401.157616684,2392401.165117876,2392401.167782102,2392401.152817948,2392401.165098487,2392401.171961406,2392401.193975598,
resnet101,layer3,2392401.127277344,2392401.511596134,2392401.157677011,2392401.342497257,2392401.342497506,2392401.342497721,2392401.342618464,2392401.371550215,2392401.168970647,2392401.261722156,2392401.371646513,2392401.511502131,
resnet101,layer4,2392401.12727933,2392401.532966747,2392401.343598116,2392401.446284652,2392401.446284932,2392401.44628523,2392401.446503396,2392401.454157565,2392401.37432274,2392401.417714892,2392401.511535573,2392401.532908814,
resnet101,avgpool,2392401.127281626,2392401.533269483,2392401.446775979,2392401.446793664,2392401.446793842,2392401.446793981,2392401.45443448,2392401.455186568,,,2392401.532927167,2392401.53324096,
resnet101,fc,2392401.127283731,2392401.533733767,2392401.446973752,2392401.462801498,2392401.462801746,2392401.462802145,2392401.462896433,2392401.463501237,2392401.456299098,2392401.461545753,2392401.533250614,2392401.533715135,
resnet152,conv1,2392401.966859521,2392401.980621712,2392401.967128415,2392401.967429378,2392401.967429688,2392401.967429909,2392401.967528086,2392401.968508621,,,2392401.968526613,2392401.980508567,
resnet152,bn1,2392401.966870186,2392401.982502114,2392401.967568367,2392401.967840705,2392401.967840922,2392401.967841155,2392401.968625832,2392401.969801166,,,2392401.980524205,2392401.98233837,
resnet152,relu,2392401.966873176,2392401.984159336,2392401.968110335,2392401.968133706,2392401.968133882,2392401.968134127,2392401.969904837,2392401.970340178,,,2392401.982375945,2392401.984032961,
resnet152,maxpool,2392401.966875798,2392401.986454572,2392401.968252889,2392401.968283987,2392401.968284155,2392401.968284356,2392401.970349752,2392401.97049451,,,2392401.984046633,2392401.986386511,
resnet152,layer1,2392401.966878245,2392402.010606162,2392401.968429171,2392401.975487274,2392401.97548759,2392401.975487794,2392401.985796694,2392401.989787681,2392401.971612833,2392401.985770884,2392401.989832637,2392402.010309873,
resnet152,layer2,2392401.966880655,2392402.068244648,2392401.975950963,2392402.019116484,2392402.019116799,2392402.019117096,2392402.019205559,2392402.024961085,2392401.991124678,2392402.018874829,2392402.025013628,2392402.068188165,
resnet152,layer3,2392401.966882758,2392402.571238931,2392402.019446305,2392402.326745025,2392402.326745419,2392402.326745652,2392402.326890717,2392402.379866185,2392402.026459054,2392402.198421636,2392402.380023336,2392402.571134293,
resnet152,layer4,2392401.966885054,2392402.589275745,2392402.328381743,2392402.443794132,2392402.443794476,2392402.443794775,2392402.443996862,2392402.451961557,2392402.383016228,2392402.418483054,2392402.571174167,2392402.589221504,
resnet152,avgpool,2392401.966887524,2392402.589561816,2392402.444389737,2392402.444411592,2392402.444412737,2392402.444412994,2392402.463618131,2392402.464385443,,,2392402.589240484,2392402.589536156,
resnet152,fc,2392401.966889846,2392402.590084667,2392402.444484924,2392402.462471927,2392402.462472214,2392402.462472594,2392402.464415135,2392402.469054621,,,2392402.589544635,2392402.590066896,
resnet101,conv1,2392403.308619338,2392403.322561381,2392403.308885372,2392403.30937785,2392403.30937839,2392403.309378832,2392403.309554701,2392403.311024317,,,2392403.311286694,2392403.322456047,
resnet101,bn1,2392403.308634034,2392403.323372361,2392403.309468615,2392403.310037941,2392403.310038155,2392403.310038307,2392403.311246709,2392403.313240615,,,2392403.322497611,2392403.323335265,
