model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
vgg19,avgpool,2388278.923737052,2388279.329882012,2388279.193033166,2388279.19307166,2388279.193071974,2388279.193077967,2388279.259044439,2388279.259353071,,,2388279.329443901,2388279.3298532,
vgg19,classifier,2388278.923739901,2388281.068496357,2388279.193182558,2388279.993463863,2388279.993464497,2388280.70571916,2388280.70582384,2388281.046199355,,,2388281.04623504,2388281.068446842,
vgg16,features,2388281.620368109,2388281.959153409,2388281.651496399,2388281.741412447,2388281.741412867,2388281.828868107,2388281.828959239,2388281.904304084,,,2388281.904349318,2388281.959095064,
vgg16,avgpool,2388281.620379546,2388281.959506251,2388281.829048416,2388281.829080624,2388281.829080822,2388281.829086508,2388281.904536831,2388281.904870999,,,2388281.959116301,2388281.959492415,
vgg16,classifier,2388281.620382909,2388283.689820574,2388281.829267768,2388282.611805341,2388282.611805889,2388283.324191691,2388283.324272527,2388283.665818573,,,2388283.665874458,2388283.689770302,
vgg19,features,2388284.220199392,2388284.621679804,2388284.220504517,2388284.377344853,2388284.377345298,2388284.495112775,2388284.495243042,2388284.549133152,,,2388284.549200013,2388284.621610611,
vgg19,avgpool,2388284.220213874,2388284.6220939,2388284.495305331,2388284.495342591,2388284.495342847,2388284.495349032,2388284.549379558,2388284.549696786,,,2388284.621639501,2388284.622062241,
vgg19,classifier,2388284.220216828,2388286.369421294,2388284.49545671,2388285.293554649,2388285.293555101,2388286.006061296,2388286.006165952,2388286.345660393,,,2388286.345697457,2388286.369376965,
vgg19,features,2388286.927154379,2388287.328802762,2388286.931771848,2388287.05463573,2388287.054636168,2388287.172535828,2388287.172690952,2388287.263003075,,,2388287.263062163,2388287.328716284,
vgg19,avgpool,2388286.927166861,2388287.329217225,2388287.172794891,2388287.172831715,2388287.17283196,2388287.172837783,2388287.263255361,2388287.263569414,,,2388287.328746188,2388287.329179309,
vgg19,classifier,2388286.927170269,2388289.04286979,2388287.172980886,2388287.970918195,2388287.970918819,2388288.681973067,2388288.682085421,2388289.020266328,,,2388289.020316835,2388289.04279844,
vgg16,features,2388289.612805151,2388289.937411743,2388289.613109189,2388289.736562496,2388289.736562931,2388289.823180906,2388289.823308607,2388289.885063809,,,2388289.885108206,2388289.937349196,
vgg16,avgpool,2388289.612819076,2388289.937760634,2388289.823403699,2388289.823437522,2388289.823437736,2388289.82344386,2388289.885288454,2388289.885616681,,,2388289.937372109,2388289.937745511,
vgg16,classifier,2388289.612821929,2388291.689092531,2388289.823582896,2388290.614747312,2388290.614747818,2388291.327562673,2388291.32764613,2388291.668488263,,,2388291.668534184,2388291.68903206,
vgg16,features,2388292.262678362,2388292.539305727,2388292.262918379,2388292.360615339,2388292.360615716,2388292.447325251,2388292.447422717,2388292.48869213,,,2388292.488751293,2388292.539239062,
vgg16,avgpool,2388292.262692781,2388292.539745419,2388292.447483682,2388292.447514018,2388292.447514276,2388292.44752038,2388292.48892518,2388292.489232937,,,2388292.539270235,2388292.539725083,
vgg16,classifier,2388292.26269612,2388294.314894612,2388292.447627391,2388293.238978111,2388293.238978528,2388293.952154764,2388293.952250842,2388294.294317556,,,2388294.294356811,2388294.31484987,
vgg19,features,2388294.846703527,2388295.252514646,2388294.87699851,2388294.999853732,2388294.999854089,2388295.117639749,2388295.117768292,2388295.182660246,,,2388295.182724572,2388295.252453154,
vgg19,avgpool,2388294.846712447,2388295.25292667,2388295.117842091,2388295.117878402,2388295.117878674,2388295.117884313,2388295.182928299,2388295.183238821,,,2388295.252476401,2388295.252900618,
vgg19,classifier,2388294.846715451,2388296.945937029,2388295.117995357,2388295.905384332,2388295.905384884,2388296.617453386,2388296.617535526,2388296.921494005,,,2388296.921555343,2388296.945854635,
vgg19,features,2388297.509017775,2388297.903801662,2388297.509324573,2388297.634013853,2388297.634014217,2388297.751794328,2388297.751915027,2388297.847107095,,,2388297.847152559,2388297.903743749,
vgg19,avgpool,2388297.509032692,2388297.904222428,2388297.751976456,2388297.752017471,2388297.752017719,2388297.752023218,2388297.847356167,2388297.84768549,,,2388297.903762169,2388297.904203271,
vgg19,classifier,2388297.509035217,2388299.593830571,2388297.752131528,2388298.537918202,2388298.537918795,2388299.2508741,2388299.250968306,2388299.564303042,,,2388299.564352843,2388299.593763457,
vgg19,features,2388300.172466919,2388300.574989699,2388300.172750184,2388300.306173277,2388300.306173702,2388300.424170724,2388300.424301902,2388300.50798314,,,2388300.508054222,2388300.574889966,
vgg19,avgpool,2388300.172483989,2388300.575416007,2388300.424397061,2388300.424434481,2388300.4244347,2388300.424440649,2388300.508387379,2388300.508776483,,,2388300.574928453,2388300.57538325,
vgg19,classifier,2388300.172487235,2388302.304110522,2388300.424582047,2388301.223734069,2388301.22373473,2388301.93656543,2388301.936681142,2388302.278510329,,,2388302.27854777,2388302.304052187,
vgg16,features,2388302.901727816,2388303.186857923,2388302.902019232,2388303.001928826,2388303.001929221,2388303.089130846,2388303.089243282,2388303.13245583,,,2388303.132516196,2388303.186797884,
vgg16,avgpool,2388302.901747284,2388303.187276124,2388303.089305827,2388303.089338414,2388303.089338653,2388303.089344593,2388303.132684515,2388303.132989053,,,2388303.186822762,2388303.187243709,
vgg16,classifier,2388302.901750728,2388304.930778597,2388303.089435845,2388303.880492123,2388303.880492844,2388304.601474904,2388304.60158355,2388304.908479528,,,2388304.908516824,2388304.93073284,
vgg16,features,2388305.464868311,2388305.794273381,2388305.49522174,2388305.595677356,2388305.595677743,2388305.682509371,2388305.682611924,2388305.741807291,,,2388305.741870983,2388305.794205439,
vgg16,avgpool,2388305.464882377,2388305.794656238,2388305.682694581,2388305.682726,2388305.682726217,2388305.68273203,2388305.742052259,2388305.74238797,,,2388305.794237519,2388305.794631426,
vgg16,classifier,2388305.464885754,2388307.507690859,2388305.682882935,2388306.465799466,2388306.465800129,2388307.179424121,2388307.179572765,2388307.485420104,,,2388307.4854536,2388307.507637263,
vgg19,features,2388308.034729502,2388308.459649806,2388308.035005434,2388308.181187097,2388308.181187533,2388308.299092803,2388308.299234934,2388308.390778049,,,2388308.39084273,2388308.459374832,
vgg19,avgpool,2388308.034745158,2388308.460007233,2388308.299334217,2388308.299379193,2388308.299379459,2388308.29938524,2388308.391055818,2388308.391384536,,,2388308.459407657,2388308.45998113,
vgg19,classifier,2388308.03474882,2388310.145259112,2388308.299577385,2388309.099820524,2388309.099821111,2388309.811394099,2388309.811503347,2388310.122106511,,,2388310.122154921,2388310.145176753,
vgg16,features,2388310.740725396,2388311.029881404,2388310.74098252,2388310.820025765,2388310.82002617,2388310.906737649,2388310.906828272,2388310.967321439,,,2388310.967380663,2388311.029809757,
vgg16,avgpool,2388310.740736626,2388311.030260485,2388310.906880699,2388310.906910593,2388310.906910793,2388310.906916433,2388310.96756053,2388310.967898355,,,2388311.029840374,2388311.030237098,
vgg16,classifier,2388310.740739361,2388312.795144502,2388310.907034126,2388311.710008209,2388311.710008837,2388312.421520918,2388312.421639852,2388312.775026864,,,2388312.77506278,2388312.795092506,
vgg19,features,2388313.342748817,2388313.774168739,2388313.372258022,2388313.506737988,2388313.506738379,2388313.624740639,2388313.624880531,2388313.712172187,,,2388313.71223901,2388313.774100516,
vgg19,avgpool,2388313.342763044,2388313.774519431,2388313.624977506,2388313.625014067,2388313.625014402,2388313.62502078,2388313.712441436,2388313.712786298,,,2388313.77412538,2388313.774504747,
vgg19,classifier,2388313.342765811,2388315.487013422,2388313.625164535,2388314.412960684,2388314.412961266,2388315.125111457,2388315.125233634,2388315.465696839,,,2388315.465731688,2388315.486951094,
vgg19,features,2388316.073781041,2388316.489766013,2388316.074069788,2388316.20384225,2388316.203842607,2388316.321838254,2388316.32197674,2388316.42247296,,,2388316.422524083,2388316.489688771,
vgg19,avgpool,2388316.073797742,2388316.49015806,2388316.322071195,2388316.322107228,2388316.322107473,2388316.322113526,2388316.42272222,2388316.423055102,,,2388316.489723174,2388316.490129446,
vgg19,classifier,2388316.073801191,2388318.235266623,2388316.322270428,2388317.129798688,2388317.129799283,2388317.856876396,2388317.857006066,2388318.215397763,,,2388318.215459028,2388318.235208325,
vgg19,features,2388318.86468436,2388319.254950635,2388318.864987481,2388318.999911069,2388318.999911635,2388319.118285092,2388319.118402473,2388319.178901937,,,2388319.178962942,2388319.254854142,
vgg19,avgpool,2388318.864698484,2388319.255335439,2388319.118460956,2388319.118497057,2388319.118497322,2388319.118502891,2388319.17915198,2388319.179475828,,,2388319.254891846,2388319.255317292,
vgg19,classifier,2388318.864701331,2388320.996016019,2388319.118608443,2388319.912494242,2388319.912494842,2388320.637672966,2388320.637786725,2388320.976066355,,,2388320.976105168,2388320.995973028,
vgg19,features,2388321.570263562,2388321.983817122,2388321.570552542,2388321.705321799,2388321.705322255,2388321.823368146,2388321.823507415,2388321.915115243,,,2388321.915162724,2388321.983728983,
vgg19,avgpool,2388321.570276103,2388321.984187463,2388321.823567241,2388321.823604075,2388321.823604385,2388321.823610309,2388321.915356913,2388321.915709648,,,2388321.983756259,2388321.984160712,
